"COL0","COL1"
"5350000.00",3011910.00
"5350001.00",185.00
"5350002.00",15.00
"5350003.00",115.00
"5350004.00",3135.00
"5350005.00",2825.00
"5350006.00",
"5350007.01",1535.00
"5350007.02",2310.00
"5350008.01",2520.00
"5350008.02",4345.00
"5350009.00",130.00
"5350010.01",1465.00
"5350010.02",2205.00
"5350011.00",6350.00
"5350012.01",6090.00
"5350012.03",4610.00
"5350012.04",2070.00
"5350013.01",2865.00
"5350013.02",3920.00
"5350014.00",560.00
"5350015.00",1250.00
"5350016.00",3495.00
"5350017.00",2975.00
"5350018.00",675.00
"5350019.00",1315.00
"5350020.00",515.00
"5350021.00",725.00
"5350022.00",415.00
"5350023.00",295.00
"5350024.00",1030.00
"5350025.00",670.00
"5350026.00",2340.00
"5350027.00",1865.00
"5350028.01",360.00
"5350028.02",2020.00
"5350029.00",3470.00
"5350030.00",2625.00
"5350031.00",4845.00
"5350032.00",1895.00
"5350033.00",2470.00
"5350034.01",2280.00
"5350034.02",2130.00
"5350035.00",6885.00
"5350036.00",3120.00
"5350037.00",2500.00
"5350038.00",1890.00
"5350039.00",3010.00
"5350040.00",2050.00
"5350041.00",1160.00
"5350042.00",750.00
"5350043.00",860.00
"5350044.00",2320.00
"5350045.00",820.00
"5350046.00",1125.00
"5350047.02",1810.00
"5350047.03",175.00
"5350047.04",585.00
"5350048.00",540.00
"5350049.00",375.00
"5350050.01",1870.00
"5350050.03",260.00
"5350050.04",1285.00
"5350051.00",675.00
"5350052.00",685.00
"5350053.00",1700.00
"5350054.00",1930.00
"5350055.00",560.00
"5350056.00",1035.00
"5350057.00",445.00
"5350058.00",910.00
"5350059.00",835.00
"5350060.00",1020.00
"5350061.00",350.00
"5350062.01",2815.00
"5350062.02",5665.00
"5350063.03",2105.00
"5350063.04",930.00
"5350063.05",2010.00
"5350063.06",1735.00
"5350064.00",1520.00
"5350065.01",1505.00
"5350065.02",9245.00
"5350066.00",2505.00
"5350067.00",215.00
"5350068.00",450.00
"5350069.00",1605.00
"5350070.00",610.00
"5350071.00",600.00
"5350072.01",1960.00
"5350072.02",1000.00
"5350073.00",1335.00
"5350074.00",1785.00
"5350075.00",1500.00
"5350076.00",1715.00
"5350077.00",995.00
"5350078.00",1295.00
"5350079.00",1485.00
"5350080.01",850.00
"5350080.02",2845.00
"5350081.00",640.00
"5350082.00",640.00
"5350083.00",1200.00
"5350084.00",685.00
"5350085.00",875.00
"5350086.00",335.00
"5350087.00",725.00
"5350088.00",1215.00
"5350089.00",1070.00
"5350090.00",790.00
"5350091.01",1330.00
"5350091.02",1015.00
"5350092.00",1790.00
"5350093.00",1275.00
"5350094.00",1335.00
"5350095.00",810.00
"5350096.01",505.00
"5350096.02",1035.00
"5350097.01",1795.00
"5350097.03",600.00
"5350097.04",1860.00
"5350098.00",2615.00
"5350099.00",2090.00
"5350100.00",660.00
"5350101.00",595.00
"5350102.02",1070.00
"5350102.03",780.00
"5350102.04",160.00
"5350102.05",215.00
"5350103.00",870.00
"5350104.00",945.00
"5350105.00",815.00
"5350106.00",2090.00
"5350107.00",1720.00
"5350108.00",2490.00
"5350109.00",1720.00
"5350110.00",1080.00
"5350111.00",520.00
"5350112.00",1290.00
"5350113.00",655.00
"5350114.00",1185.00
"5350115.00",1550.00
"5350116.00",900.00
"5350117.00",350.00
"5350118.00",645.00
"5350119.00",875.00
"5350120.00",190.00
"5350121.00",415.00
"5350122.00",1155.00
"5350123.00",795.00
"5350124.00",925.00
"5350125.00",540.00
"5350126.00",725.00
"5350127.00",1310.00
"5350128.02",2655.00
"5350128.04",1180.00
"5350128.05",125.00
"5350128.06",1960.00
"5350129.00",1355.00
"5350130.00",555.00
"5350131.00",895.00
"5350132.00",1330.00
"5350133.00",2240.00
"5350134.00",470.00
"5350135.00",1800.00
"5350136.01",2025.00
"5350136.02",1785.00
"5350137.00",1790.00
"5350138.00",470.00
"5350139.01",930.00
"5350139.02",415.00
"5350140.00",275.00
"5350141.01",1130.00
"5350141.02",805.00
"5350142.00",1175.00
"5350150.00",590.00
"5350151.00",1360.00
"5350152.00",655.00
"5350153.00",1990.00
"5350154.00",1700.00
"5350155.00",1515.00
"5350156.01",3885.00
"5350156.02",1135.00
"5350157.00",1500.00
"5350158.00",1635.00
"5350159.01",1545.00
"5350159.02",1520.00
"5350160.00",945.00
"5350161.00",2640.00
"5350162.00",2140.00
"5350163.00",1640.00
"5350164.00",2280.00
"5350165.00",1010.00
"5350166.00",960.00
"5350167.01",325.00
"5350167.02",2125.00
"5350168.00",2985.00
"5350169.01",2070.00
"5350169.02",3065.00
"5350170.00",1365.00
"5350171.00",2165.00
"5350172.00",1595.00
"5350173.00",2655.00
"5350174.00",4850.00
"5350175.01",3970.00
"5350175.02",5470.00
"5350176.00",1315.00
"5350180.00",2860.00
"5350181.01",1325.00
"5350181.02",1110.00
"5350182.00",1630.00
"5350183.01",720.00
"5350183.02",1165.00
"5350184.01",1575.00
"5350184.02",1165.00
"5350185.01",1830.00
"5350185.02",1305.00
"5350186.00",460.00
"5350187.00",845.00
"5350188.00",460.00
"5350189.00",2095.00
"5350190.01",7495.00
"5350190.02",2210.00
"5350191.00",1220.00
"5350192.00",360.00
"5350193.00",1090.00
"5350194.01",5140.00
"5350194.02",4695.00
"5350194.03",2225.00
"5350194.04",4435.00
"5350195.01",975.00
"5350195.02",465.00
"5350196.01",375.00
"5350196.02",660.00
"5350200.01",1560.00
"5350200.02",265.00
"5350201.00",1795.00
"5350202.00",305.00
"5350203.00",715.00
"5350204.00",800.00
"5350205.00",
"5350206.01",910.00
"5350206.02",1395.00
"5350207.00",925.00
"5350208.00",1890.00
"5350209.00",700.00
"5350210.01",945.00
"5350210.02",4110.00
"5350211.00",1400.00
"5350212.00",1090.00
"5350213.01",560.00
"5350213.02",2865.00
"5350214.00",1260.00
"5350215.00",1590.00
"5350216.00",725.00
"5350217.00",1235.00
"5350218.00",270.00
