"COL0","COL1"
"0010000.00",85015.00
"0010001.00",700.00
"0010002.00",2130.00
"0010003.01",1935.00
"0010003.02",2225.00
"0010004.00",3635.00
"0010005.01",1250.00
"0010005.02",1550.00
"0010006.00",1555.00
"0010007.00",1215.00
"0010008.00",830.00
"0010009.00",230.00
"0010010.00",810.00
"0010011.00",1305.00
"0010012.00",1125.00
"0010013.00",765.00
"0010014.00",1405.00
"0010015.01",2185.00
"0010015.02",1620.00
"0010015.03",2050.00
"0010015.04",2215.00
"0010016.01",1845.00
"0010016.02",2270.00
"0010017.00",1755.00
"0010100.01",2480.00
"0010100.03",1270.00
"0010100.04",1610.00
"0010110.00",1155.00
"0010170.01",1190.00
"0010170.02",1760.00
"0010171.00",2020.00
"0010172.02",2295.00
"0010172.03",875.00
"0010172.04",2165.00
"0010172.05",1905.00
"0010172.06",845.00
"0010200.01",1915.00
"0010200.02",3410.00
"0010200.03",1590.00
"0010201.00",1170.00
"0010202.01",1455.00
"0010202.02",1320.00
"0010202.04",3205.00
"0010202.05",4835.00
"0010300.00",2890.00
"0010301.01",2560.00
"0010301.02",2500.00
"0010302.00",1980.00
"2050000.00",173455.00
"2050001.00",1565.00
"2050002.00",2730.00
"2050003.00",1195.00
"2050004.01",2240.00
"2050004.02",2770.00
"2050005.00",655.00
"2050006.00",1290.00
"2050007.00",1120.00
"2050008.00",1570.00
"2050009.00",1325.00
"2050010.00",2800.00
"2050011.00",2560.00
"2050012.00",1020.00
"2050013.00",1085.00
"2050014.00",1945.00
"2050015.00",2425.00
"2050016.00",1705.00
"2050017.00",1200.00
"2050018.00",1870.00
"2050019.00",2500.00
"2050020.00",1010.00
"2050021.00",1610.00
"2050022.00",2730.00
"2050023.00",2120.00
"2050024.00",3560.00
"2050025.01",2070.00
"2050025.02",2420.00
"2050025.03",4315.00
"2050026.02",1545.00
"2050026.03",1370.00
"2050026.04",1910.00
"2050026.05",1530.00
"2050027.00",3385.00
"2050100.00",1725.00
"2050101.00",1720.00
"2050102.00",2415.00
"2050103.00",1935.00
"2050104.01",875.00
"2050104.02",3395.00
"2050105.01",1300.00
"2050105.02",1780.00
"2050106.01",1490.00
"2050106.02",1940.00
"2050107.00",1305.00
"2050108.00",2310.00
"2050109.00",1690.00
"2050110.00",835.00
"2050111.00",1785.00
"2050112.00",1090.00
"2050113.00",520.00
"2050114.00",3725.00
"2050120.00",870.00
"2050121.02",1280.00
"2050121.03",705.00
"2050121.05",1805.00
"2050121.06",2095.00
"2050121.08",1235.00
"2050121.09",
"2050121.1",1845.00
"2050122.01",1340.00
"2050122.03",1310.00
"2050122.04",1545.00
"2050122.05",1325.00
"2050123.01",850.00
"2050123.02",1535.00
"2050123.04",3995.00
"2050123.05",1530.00
"2050123.06",1125.00
"2050130.03",1810.00
"2050130.04",1395.00
"2050130.05",
"2050130.06",3110.00
"2050131.01",1895.00
"2050131.02",1755.00
"2050131.03",2500.00
"2050131.04",1370.00
"2050131.05",1345.00
"2050132.03",2295.00
"2050132.04",2095.00
"2050132.06",2375.00
"2050132.07",1715.00
"2050132.09",
"2050132.1",1835.00
"2050140.00",2570.00
"2050141.00",2700.00
"2050142.01",1960.00
"2050142.02",1600.00
"2050143.01",2045.00
"2050143.02",2530.00
"2050150.01",2555.00
"2050150.02",2340.00
"2050151.00",2380.00
"2050152.00",1700.00
"2050153.00",2605.00
"2050154.01",
"2050154.03",
"2050154.04",1510.00
"2050155.00",
"3050000.00",61765.00
"3050001.00",780.00
"3050002.00",2200.00
"3050003.01",995.00
"3050003.03",3620.00
"3050003.04",2050.00
"3050004.00",3320.00
"3050005.00",1280.00
"3050006.00",2320.00
"3050007.00",1500.00
"3050008.00",2265.00
"3050009.00",2100.00
"3050010.01",930.00
"3050010.02",3520.00
"3050011.00",1840.00
"3050012.00",3415.00
"3050013.00",2915.00
"3050014.02",2400.00
"3050014.03",1780.00
"3050014.04",3200.00
"3050015.01",
"3050015.02",2365.00
"3050016.01",2675.00
"3050016.02",2130.00
"3050100.00",2885.00
"3050101.00",3645.00
"3050102.01",2140.00
"3050102.02",2445.00
"3050110.00",420.00
"3050120.00",285.00
"3050200.00",340.00
"3100000.00",52875.00
"3100001.01",1150.00
"3100001.02",1500.00
"3100002.01",1495.00
"3100002.02",835.00
"3100003.00",795.00
"3100004.00",1085.00
"3100005.00",
"3100006.00",320.00
"3100007.00",490.00
"3100008.00",775.00
"3100009.00",1215.00
"3100010.00",865.00
"3100011.00",535.00
"3100012.00",450.00
