,,,"Toronto, City [Census subdivision], Ontario",,,,,,"Toronto, Census division [Census division], Ontario"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1, 2731571,,,...,,..., 2731571,,,...,,...
"Population and dwellings","Population; 2011",1, 2615060,,,...,,..., 2615060,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      4.5,,,...,,...,      4.5,,,...,,...
"Population and dwellings","Total private dwellings",2, 1179057,,,...,,..., 1179057,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3, 1112929,,,...,,..., 1112929,,,...,,...
"Population and dwellings","Population density per square kilometre",, 4334.4,,,...,,..., 4334.4,,,...,,...
"Population and dwellings","Land area in square kilometres",,    630.20,,,...,,...,    630.20,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4, 2731575,, 1313590,, 1417985,, 2731570,, 1313590,, 1417985,
"Age characteristics","  0 to 14 years",,  398135,,  204190,,  193945,,  398135,,  204190,,  193945,
"Age characteristics","    0 to 4 years",,  136000,,   69895,,   66105,,  136000,,   69895,,   66105,
"Age characteristics","    5 to 9 years",,  135025,,   69345,,   65680,,  135025,,   69350,,   65680,
"Age characteristics","    10 to 14 years",,  127105,,   64940,,   62165,,  127110,,   64945,,   62165,
"Age characteristics","  15 to 64 years",, 1906495,,  925070,,  981420,, 1906495,,  925070,,  981425,
"Age characteristics","    15 to 19 years",,  145525,,   74240,,   71280,,  145525,,   74240,,   71285,
"Age characteristics","    20 to 24 years",,  194750,,   97415,,   97330,,  194745,,   97415,,   97330,
"Age characteristics","    25 to 29 years",,  232945,,  113905,,  119035,,  232950,,  113905,,  119040,
"Age characteristics","    30 to 34 years",,  224580,,  108895,,  115680,,  224575,,  108895,,  115675,
"Age characteristics","    35 to 39 years",,  196310,,   94065,,  102240,,  196305,,   94070,,  102240,
"Age characteristics","    40 to 44 years",,  182390,,   86535,,   95860,,  182390,,   86535,,   95860,
"Age characteristics","    45 to 49 years",,  190925,,   90860,,  100065,,  190925,,   90860,,  100065,
"Age characteristics","    50 to 54 years",,  202405,,   98735,,  103670,,  202410,,   98735,,  103670,
"Age characteristics","    55 to 59 years",,  182805,,   88145,,   94655,,  182800,,   88145,,   94660,
"Age characteristics","    60 to 64 years",,  153865,,   72265,,   81600,,  153870,,   72270,,   81600,
"Age characteristics","  65 years and over",,  426945,,  184325,,  242615,,  426945,,  184325,,  242615,
"Age characteristics","    65 to 69 years",,  130540,,   60360,,   70185,,  130545,,   60360,,   70180,
"Age characteristics","    70 to 74 years",,   93600,,   42315,,   51285,,   93605,,   42320,,   51285,
"Age characteristics","    75 to 79 years",,   76160,,   32730,,   43430,,   76165,,   32730,,   43430,
"Age characteristics","    80 to 84 years",,   60630,,   25670,,   34965,,   60630,,   25670,,   34965,
"Age characteristics","    85 years and over",,   66005,,   23245,,   42750,,   66000,,   23250,,   42755,
"Age characteristics","      85 to 89 years",,   40800,,   15665,,   25135,,   40800,,   15665,,   25135,
"Age characteristics","      90 to 94 years",,   19680,,    6180,,   13500,,   19680,,    6185,,   13500,
"Age characteristics","      95 to 99 years",,    4750,,    1275,,    3470,,    4750,,    1280,,    3475,
"Age characteristics","      100 years and over",,     770,,     120,,     650,,     770,,     125,,     650,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   14.6,,   15.5,,   13.7,,   14.6,,   15.5,,   13.7,
"Age characteristics","  15 to 64 years",,   69.8,,   70.4,,   69.2,,   69.8,,   70.4,,   69.2,
